File_Type,OD,,,,,,,,,,,,,,,,,,,,,,,,,
File_Version,3,,,,,,,,,,,,,,,,,,,,,,,,,
GP,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Type,24Wells_Square,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Wells_X,6,,,,,,,,,,,,,,,,,,,,,,,,,
MTP_Wells_Y,4,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,20171118_012019,,,,,,,,,,,,,,,,,,,,,,,,,
MTP,3,,,,,,,,,,,,,,,,,,,,,,,,,
Plate-ID,GF0001_Test,,,,,,,,,,,,,,,,,,,,,,,,,
Cal File Used,,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Distance_X_MM,9,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Distance_Y_MM,9,,,,,,,,,,,,,,,,,,,,,,,,,
Well_Shape,Square,,,,,,,,,,,,,,,,,,,,,,,,,
Spot_Shape,Rectangle,,,,,,,,,,,,,,,,,,,,,,,,,
Rectangle_Spot_Size_X_MM,3,,,,,,,,,,,,,,,,,,,,,,,,,
Rectangle_Spot_Size_Y_MM,3,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Center_X_MM,0,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Center_Y_MM,0,,,,,,,,,,,,,,,,,,,,,,,,,
Deviation_From_Perfect_Parallelness_DEG,0,,,,,,,,,,,,,,,,,,,,,,,,,
Geometric_Correction_MM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Ignore_Top_G_Pixel_Percent,25,,,,,,,,,,,,,,,,,,,,,,,,,
Ignore_Bottom_G_Pixel_Percent,10,,,,,,,,,,,,,,,,,,,,,,,,,
OD_Profile,CR1496DG_4ms_BakersYeast,,,,,,,,,,,,,,,,,,,,,,,,,
a,0.0283,,,,,,,,,,,,,,,,,,,,,,,,,
659,3.803,8.775,4.241,6.856,9.134,7.428,8.683,10.306,9.337,3.694,8.629,9.709,4.948,0.433,9.03,3.878,5.962,9.172,5.279,9.734,3.283,8.593,8.463,8.764,,mtp03_20171118_121920.bmp
689,4.933,9.29,5.493,8.149,9.35,8.847,9.028,10.55,9.737,4.772,8.976,10.056,6.241,0.431,9.435,5.017,7.32,9.663,6.663,10.12,4.278,8.884,8.832,9.349,,mtp03_20171118_124920.bmp
719,6.407,9.33,7.033,8.451,9.763,9.205,9.236,10.889,10.087,6.117,9.196,10.335,8.059,0.439,9.623,6.52,8.158,9.962,8.463,10.353,5.347,9.125,9.098,9.678,,mtp03_20171118_131919.bmp
749,8.23,9.884,8.168,8.731,10.322,9.473,9.549,11.411,10.525,7.925,9.481,10.807,9.023,0.444,10.112,7.969,8.419,10.311,8.998,10.895,6.741,9.489,9.454,9.981,,mtp03_20171118_134919.bmp
779,8.827,10.399,8.55,9.038,10.985,9.901,10.111,12.351,10.921,8.303,9.846,11.465,9.327,0.44,10.752,8.224,8.653,11.033,9.212,11.651,8.122,10.184,10.063,10.47,,mtp03_20171118_141921.bmp
809,9.047,11.097,8.581,9.37,11.702,10.464,10.633,13.246,11.67,8.514,10.301,12.126,9.558,0.437,11.248,8.29,8.902,11.517,9.391,12.174,8.514,10.82,10.581,10.945,,mtp03_20171118_144919.bmp
839,9.497,12.281,8.842,9.926,12.827,11.197,11.565,14.544,12.758,8.68,11.002,13.313,10.04,0.436,12.453,8.406,9.381,12.805,9.894,13.454,8.935,11.6,11.602,11.81,,mtp03_20171118_151921.bmp
869,9.964,13.389,9.275,10.441,13.946,11.929,12.625,15.917,13.695,8.793,11.809,14.706,10.447,0.436,13.421,8.655,9.711,13.72,10.568,15.002,9.191,12.305,12.524,12.929,,mtp03_20171118_154919.bmp
899,10.514,14.413,9.659,11.217,15.262,13.296,13.642,17.721,15.152,9.095,12.6,15.919,11.246,0.432,14.515,8.96,10.336,14.938,11.185,15.954,9.558,13.406,13.631,13.909,,mtp03_20171118_161919.bmp
929,11.345,15.818,10.221,11.886,16.445,14.814,14.99,19.052,16.636,9.441,13.627,17.326,12.337,0.434,15.945,9.355,10.918,16.525,12.3,17.757,10.151,14.592,14.636,15.201,,mtp03_20171118_164920.bmp
959,12.106,16.702,10.873,12.815,17.813,15.732,16.211,20.252,18.014,9.931,14.534,18.691,13.204,0.44,16.612,9.908,11.617,17.682,13.122,18.233,10.733,15.564,15.98,16.193,,mtp03_20171118_171917.bmp
629,10,9,8,7,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,mtp03_20171118_171917.bmp
